text,label,source
"This retirement account is an ‘IOU to the IRS’ — but here’s when it makes sense, expert says. Your pre-tax IRA is subject to future income taxes, depending on your bracket. But it could offer planning opportunities, experts say.",neutral,CNBC
"'America is not Canada,' new Prime Minister Mark Carney says in rebuke to Trump. President Donald Trump since his second White House term began has said Canada, Greenland and the Panama Canal should become U.S. property.",neutral,CNBC
"Elon Musk's SpaceX, Tesla lobby Trump trade representative on tariffs. Tesla warned of the hit to its bottom line from tariffs, while SpaceX complained that foreign trade barriers affect its Starlink internet satellite service.",neutral,CNBC
"Block bets on lending expansion after stock slump. Block is expanding its lending efforts, announcing this week that it received FDIC approval to issue loans through its banking subsidiary.",neutral,CNBC
"Almonds, whiskey, auto parts: EU's retaliatory tariffs set up these U.S. states and local products as the biggest losers. From California almonds to Tennessee whiskey and Michigan auto parts, some states and sectors will be hit hardest by U.S.-EU 'tit for tat' tariffs war.",neutral,CNBC
"The U.S.-Canada trade war could signal a shift in economic ties, experts say. The U.S.-Canada trade war could shift economic ties as tariffs rise and tensions grow, raising concerns about future trade stability, experts say.",neutral,CNBC
"Trump says 'very good chance' of Ukraine ceasefire while Russia keeps caveats. Russia struck a sedate tone Friday but acknowledged grounds for cautious optimism, after only backing the ""idea"" of a U.S.-brokered 30-day ceasefire with firm caveats.",neutral,CNBC
"David Sacks sold $200 million in crypto-related holdings before taking White House job, ethics memo says. The White House memo revealed that AI and Crypto Czar David Sacks divested over $200 million in digital asset-related investments.",neutral,CNBC
"Don’t hide cash at home — here’s what you’re risking and what to do instead, experts say. While keeping your money in a secret spot at home can feel safe, it's often not the case. Here's what to know.",neutral,CNBC
Trump CMS nominee Dr. Oz won't commit to opposing Medicaid cuts. President Donald Trump has promised to preserve Medicaid and other federal safety-net programs.,neutral,CNBC
"Shares of DocuSign surge 14% on strong earnings, AI boost. CEO Allan Thygesen said the company has ""started to turn the corner on the core business.""",neutral,CNBC
"Canada's versatile finance minister starts fifth cabinet job in 6 years - Reuters Canada. <a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxNczA4Z0t1NEU5VHppaFFQaGtmalNGd0t3LUxBR1I2OWxfaGVlWllYMkhrRGFMV1JQdG05aVFHMW02MGFWY0FrQkhvcjRRRkFhQTFFSjVWZXVXOHdPeElhZ1l1STRZVXh5ZnZHUi1Sb182RktJSDFrdkJfdVFWckdIVzFfTFRkRjhENTB5Q09PWTNBTFNVRFhFNTNwaG82cFVVNE04RnJ0bzZfdkk3MnUzU25QTDd0UTVNWHc?oc=5"" target=""_blank"">Canada's versatile finance minister starts fifth cabinet job in 6 years</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters Canada</font>",neutral,Google News
"Yakima city finance director leaves position after six months - Yakima Herald-Republic. <a href=""https://news.google.com/rss/articles/CBMi9AFBVV95cUxOYUExUWVzeGh2WmhhU08zbWlibE4zV3RiNVgxd0MzUTZmME5ZY3FhX2hkSHZ5Z29faVgzTG9FWmd0WjBMX0Z2ZmVYcUx0MmFOV0NFdWRrTkIzU0ZFQUFyMFhwTHc0UEt1b0s0aVNoeUJCTzRlUnBfVExXSXF6bjNScWNkSFhXQ21hblhuSlJwVkZEb1dlRjI1VXpDUG9zcUlkek1OZThoWnBNcFhBYWR2TVdHTE9iUXBId3lhTFFzQU16SnBwRTZXM2ZTTk5KYURYc3hfQXRJenlReS0xQlpJbHAyWFM5VXVnRUpXR1JydHhyLWNm?oc=5"" target=""_blank"">Yakima city finance director leaves position after six months</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yakima Herald-Republic</font>",neutral,Google News
"NJBIZ reveals 2025 Leaders in Finance honorees (updated) - NJBIZ. <a href=""https://news.google.com/rss/articles/CBMic0FVX3lxTE9BRENMc3JoczkwTWNDWGZqX0xUNU5qVTNWbXY3NG1jNkJJMms5RXI2MldMbWNFcXJ5U3RYNEN5czd6T1A3QWQ2dkpiZHMxWFNRUXZDZG9TWEZ2ZXNJRXdnUy1Jb3BKVFNGcU1qUHk1dzVxYTA?oc=5"" target=""_blank"">NJBIZ reveals 2025 Leaders in Finance honorees (updated)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NJBIZ</font>",neutral,Google News
"Klarna Files for IPO, Promises Investors ‘New Era of Finance’ - PYMNTS.com. <a href=""https://news.google.com/rss/articles/CBMinAFBVV95cUxQR0w0aGE1MURRcGtHekhmRy1NOVZWQk9JYnRiQ0hfZ0pqbFY3b0pVaXh0UHBmay1tOGhnbEpzWVh5dDFITGUzZ010OWMyai11VjVzUXVnUHBqakRFVm9RSzhQMUdoQl90ak9xZTZuTERuU0ZNdGw5XzF5RFNOSENNd19POGJQZDJQMDVFdDB1RXlRV0h4RHpQN3psZHA?oc=5"" target=""_blank"">Klarna Files for IPO, Promises Investors ‘New Era of Finance’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PYMNTS.com</font>",neutral,Google News
"Spotsylvania finance staff provides ‘depressing’ forecast of potential federal cuts - Fredericksburg Free Press. <a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxONzZHV1lxU241R3lrQWNPQjZYS2dZYzFWdVZPczhwX3FBekNVWkpVdkowcWVEcXRBQUkzSlNlRGprRkNqMFd1eVVwZUtUUzRWaXYzcnJyRkFaWE9KbnJQdzFyT0xUUFp4Ulh6RE9CYnRJZGpHU0VpVjZWamRHOWpPbTRaemVzZWpuanNyMUZZeXBIRWtmMnFuLTZDMGlrd29HMTZ2M2hjT1MxVWFwelo0Z21md0xQdklBWGJFdU5DLWxwWjN0bXZDWHJXcmkzZw?oc=5"" target=""_blank"">Spotsylvania finance staff provides ‘depressing’ forecast of potential federal cuts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Fredericksburg Free Press</font>",neutral,Google News
"Credit card debt is getting in the way of saving for many workers nearing retirement - Yahoo Finance. <a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxQN0RTejhYeElSc3NDUlRmVFFVSUJJaGNkS2ZVMTdFYXBlN0VKYmVra09JODdTb0lEczZ1WWtaemFNQkduS1RBS2Y2SkcxOVRPWDZXX3N2WFhsSVMwUUs5V0FlSEVXMGFORlQtdmZkd3NIS0VlWFpjXzNoRzZ0UU9TcDR4VEJDQjlJdEJQVDRTOFlHbHZ2Rl9nYmZsdnJFMzZzWldIaVhtVV9sVkZMbnE5YUZrUHUyV3AzbGtONnkzV0h4aUxVY2hJMUNR?oc=5"" target=""_blank"">Credit card debt is getting in the way of saving for many workers nearing retirement</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>",neutral,Google News
"Trump Treasury Expands Financial Surveillance - Cato Institute. <a href=""https://news.google.com/rss/articles/CBMie0FVX3lxTFByT2lfRjA5RzNLNU1FbTVKVDFiMnl3NjJhYzRqUWZZOWVCeDFQSUl1bWV1UG5zNFp4SkQzSXg5QkRtLWNYT2xTdGt3bzgzamkxaE8wTmFuNTFRbk5BLUpMTExQR3kyM0hqVjdXN2pBWlFsVV9MUG1DVHB2Yw?oc=5"" target=""_blank"">Trump Treasury Expands Financial Surveillance</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Cato Institute</font>",neutral,Google News
"How Rockford finance requirement has supported students after graduation - WOODTV.com. <a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxQc2huTnVyM3JtcFhaaHp6dGVGNjRtS3EweVMzTXlfc1BFUmxKQmN0NW52czhON2xBc3VWUXVQcWZrUHpmSDNoTGZsNmZGbUtrS3ctemltWlp5RDRvb2V1c0QtY0MzRmQ5Ul91WElBQkRCR2JUNTBmZWJWblZCakpaa29sb2QxYS1PejZLVGxPejVHMHdNM09SQ3I0VEV5VE9LS3BYa3ZrczBMSjMwWElDV0R4c9IBuAFBVV95cUxONm5fSHZRQVU0WWFTMHRWa2d0a2pINldzZGo4MkdIcFVTZHNiamdHZlRVNHNEQ3VKWDVmR0Y5ekw2cXQ3cjFjMXpoRUtMbm5td045Y0N0b1NzcWlINGdpZmJCQ1g4THM1REtFTmlhNmlkVWIwQ1MyemtINWlZaUpLUWRzcWcxam14bDBwREtpWWVhQXhJUXg2dmFlRkRlQ3MtRXFKQ2N5a29vUVR4Tll4Znl4MGFRWU1r?oc=5"" target=""_blank"">How Rockford finance requirement has supported students after graduation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WOODTV.com</font>",neutral,Google News
"Gold prices are smashing record highs but it’s still a risky bet - Fortune. <a href=""https://news.google.com/rss/articles/CBMihgFBVV95cUxNLU1nZllvZHpWXzVwZl9yUjJnY3Q0SENaM1VVbTZ3N2pucV9VY0lHT1ZzOVRrZEo2Rmp3Y2NXQ0t6RWZka2xzc1EzRnRYd3hYSGFpMnBnbUhsMFFtSUFuZWlJZGhEbGNiNGRRa1BaaVIzYWVaUkFJVzdsQmd1NVVwbTdKeEFBQQ?oc=5"" target=""_blank"">Gold prices are smashing record highs but it’s still a risky bet</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Fortune</font>",neutral,Google News
"China isn’t happy about sale of Panama Canal port to American finance giant - The Globe and Mail. <a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxPemNUVFpURzhVMmppSGNtRkxTWW9uWjVzQ2xiZExNdEJxbzVzUXo2Ykk1dHJMQzRGQkx1NEx2WFE4SkRaTzZMemNDaXRTTTZYeHY1UUtRSWRmUnBqUWYySjdrbFQyZy1sZmtqWFRvdHp5TFc3dzVGRjZJbi12RzdscS05X0M5Zm40QzZtbGdJVExocnQyUVd2SURFczJyWWhCaDZVYm1abVNiWFkyeVhtSnJYTURBaG5wRC1fTDdPVlFLVy1BdEgxYWVNcjdZNzFxek9sYlBYc3c?oc=5"" target=""_blank"">China isn’t happy about sale of Panama Canal port to American finance giant</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Globe and Mail</font>",neutral,Google News
"Trump tariffs live updates: Trump threatens 200% tariff on EU wines, champagne, says he won't 'bend' in fight - Yahoo Finance. <a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxOa3hmODJjZWplczNERy1zOTI5Q2xzN3dHc3BpUWNwM1Q1YWxwdG5tdFpRc0kyOEMtSU9EaklmMDNxdVdYbFNneXI1dGJlcDY5QXA3YTY2TExwRG9DY2FkVlYxcTFFZVRtdGZNUXp4S21odWY3a2NxcDlFeVgyanpUcXlScWE0dDhVX1hNQ3ktRnJPNVc5ZHN2TnVwYmMwTzhlZ0luQjM1LU12TDU3ejlvUnhVcWRYU0lMTnZOZXdBaDBJRmZJQ19CeGtIVGhxTllnVXE4QUVJUFBxN1BUZElxbjJlcjRjMnBQ?oc=5"" target=""_blank"">Trump tariffs live updates: Trump threatens 200% tariff on EU wines, champagne, says he won't 'bend' in fight</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>",neutral,Google News
"Trends and innovations in nature finance: what to look out for in 2025 - UNEP Finance Initiative. <a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxQcXE4RG9jX19yVTVaOEVOdlZ5WDQyTHFSWHE4SzRiTVduQ1FCQ1g5enZtNjNCUzRtNlhEVkFTbUZzNm9FalEzREVzV2tYbEpCeVlkYVZOZzBoaVo3UGtVSWk1eWQ5MWdrUDFRc3J6UU9iUzBSeXNDb2VxV0x2NTY5dzd0ZlNxNDE4dGR1SjJ5RWtKN29EQXZ4OV9oNUVIY0k?oc=5"" target=""_blank"">Trends and innovations in nature finance: what to look out for in 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">UNEP Finance Initiative</font>",neutral,Google News
"Town Of Estes Park Welcomes Tammy Zimmerman As Finance Director - Estes Park news. <a href=""https://news.google.com/rss/articles/CBMimwFBVV95cUxOM1Rqdi1rNnVfSS1ET3BTUWNKWXhpaV9iU0poMDdEUnpjTDQtNU5hbkFrUXRHejBJNEFBbEpheEtLcC1yWjJuR2k4RHRjQnNuMWsxX2IxWmxpcHJMaXFqS3pWM1hjaDlwOVBEV0h3MkNQV0NPTmhmT25XQXFHZ1UtTWt1WFhGbnRsTDhYVFAzVzZmNlVURVdSc2VOQQ?oc=5"" target=""_blank"">Town Of Estes Park Welcomes Tammy Zimmerman As Finance Director</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Estes Park news</font>",neutral,Google News
"Video: Can the Tools of Finance Help Combat Climate Change? - Yale Insights. <a href=""https://news.google.com/rss/articles/CBMinAFBVV95cUxNUk5DQjZvRWFhWHoxS3AtT0p5Z3RKYU5rT1pOQmlJZk14cy1faEwtdEhTUDNRUW1BaVY0dTNjUmo5b0lnRndNRDk3UTBoeTlRTlZWVGNCZUozOWlPczJzak4wVk56YzFrYUhlbDdxc0tyMFBDWmI2NzFUenhJUmkyUHctUTUzYXc4OElwenpYakcwT0ROTXFSNFd2dm8?oc=5"" target=""_blank"">Video: Can the Tools of Finance Help Combat Climate Change?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yale Insights</font>",neutral,Google News
"Assistant Administrator and Chief Financial Officer - Transportation Security Administration. <a href=""https://news.google.com/rss/articles/CBMiiwFBVV95cUxNT0RCQjl4Y3dlNWRTR0g2UGdjS3pmMjJ6eW0yNXBfVmlrZDdLR1V2YmdBN1kzTV9aOGVsYjR4cHlNUzNsRk1YX1AwSmhEanVud2FlQW93Z21QWElRM1luc0htQTNFSWNsMlp2XzE3THc4WmpRQjdJaXJBeHRGYkhZUnUtTmZOM0s4R0tB?oc=5"" target=""_blank"">Assistant Administrator and Chief Financial Officer</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Transportation Security Administration</font>",neutral,Google News
"The Sound of Finance: 10 Wealth Philosophies Inspired by Simon and Garfunkel - Money Talks News. <a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxQVU5lalhKTU1uQ2E5U2l5M2prenpyUzRobFB3dGw2MlR4WTBwSktMVlQyT3llQm9qQWI2WnRUZkQyWWxpSzdfMEhYeVdxUjJ5d0RwUVJORHlvOGxCWHpzTFlsc29hZy1mYWtSQ19mVVQ4bUJfbmxRdzhhNWdBR1FsVElJajFXT055Z1NrbXA0VVV4MFVWTUxKUEVMSWlrTDJuaTgyUWFJbTU3eXBsUzlrMWJfZWZadw?oc=5"" target=""_blank"">The Sound of Finance: 10 Wealth Philosophies Inspired by Simon and Garfunkel</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Money Talks News</font>",neutral,Google News
"Alumnus Ric Edelman sponsors students to attend Museum of American Finance gala - Rowan Today. <a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxQVFJhRUVKSHlvdmJuQTJRclpSMGRTMHhUTFFIRHBianVoTEtrdUE0cGFxcS12NnNmektmZG9SSHBiTFViT0MxdE9aSllzcWlCQS04RVY3N0tUNFJIcHVfMnpBYVdFelFNSGRoV0E4WnFCZC1fWl9aeG8zUHZNLWZvRjRYU2ZNcGVERUlZSE9kc3FsRThwWng1Rk5CLVhuT19aRzhjeUhEek1oNGhiakdvakZn?oc=5"" target=""_blank"">Alumnus Ric Edelman sponsors students to attend Museum of American Finance gala</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Rowan Today</font>",neutral,Google News
"Dolan Students Awarded First Place in Global Finance Competition - Fairfield University. <a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxQZ0tEeWtRdmxSQTVfMmpHbEltOUJjcjB0ZTVtWk5OcXlHcDBsUVdTNUx0TlFzam10QWZKYUY3cFl6Qk1kWVlLOVo4Ynhjb3VFSFhrQnVkeGJ6NkExbzlMNUNSZjB6WmpJOUstaU92eVNRZ3pjTUd0LXBDcFJ4Q3F4QTl5dU4xWXFSd0Zid1JjZUNaU1UxVFE?oc=5"" target=""_blank"">Dolan Students Awarded First Place in Global Finance Competition</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Fairfield University</font>",neutral,Google News
"Faculty Friday: Daniel Park, PhD, Glorifies God Through Finance Education - Azusa Pacific University. <a href=""https://news.google.com/rss/articles/CBMijwFBVV95cUxNdEg5Y0JZZnlLUE9oUVZ5WDBzQnpPMVFkWC0xZVg4REg4eE9FelNaQUxFV0N4a2NmNElfZkU0blFKZnhUUUo2X1I3OHBJUmNEc1RQNUU1TDhoXzRxcmxwcVFCVG44dzMwLS0ydVVCOC1PbHdKOHF0VFZhdWJRNk5iZ2NvZlIzTERpN3NuekxYdw?oc=5"" target=""_blank"">Faculty Friday: Daniel Park, PhD, Glorifies God Through Finance Education</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Azusa Pacific University</font>",neutral,Google News
"How the 100 Most Influential Women in U.S. Finance Are Shaping the Conversation - Barron's. <a href=""https://news.google.com/rss/articles/CBMiigFBVV95cUxQVzQ0SGd6UnlrWU9lV0IyZWtFMVFvNkN5V09LMDJwSlhLeXBRRE9WUVJHM0hqVGRDUUVYa0t4Wm9uaTVJQ0tSMkVwV1RSb3pESlBHQmJjNlY2LVBraHczelpNVWdwQ1dmMFc1WVA2SF9rbmlZY1JscUR2T2hYTTdSZ1FMbHFvdjRHaFE?oc=5"" target=""_blank"">How the 100 Most Influential Women in U.S. Finance Are Shaping the Conversation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Barron's</font>",neutral,Google News
"Senate Finance Committee holds confirmation hearing for CMS administrator nominee Mehmet Oz - American Hospital Association. <a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxOdDdVbWZOTU50QUVjRzlvdmlSZ1U1a1FFT2ExZU9RSzJBNkVNaFdBRzNoSE9MNjN2eDF2Q2JpMWo4NFdQM01zZWplWUh0YTJPaDVTcWsxZU0wTFlrZXhRdzcwQmZRd2p5eEsxX1hubS00cDYxR1R4QWRMTjNIWE1QeEIxS3JvZmdwMmRzNlRrcGZPemRYSmNYS05vdk9yLVFydkdnMGxPY0dRUnlpTjlGY0Y2MGZMUGY0QUhoZnBMVTVhT3BCVkRJTVM0eG8?oc=5"" target=""_blank"">Senate Finance Committee holds confirmation hearing for CMS administrator nominee Mehmet Oz</a>&nbsp;&nbsp;<font color=""#6f6f6f"">American Hospital Association</font>",neutral,Google News
